,Unnamed: 0,class,tweet
0,0,Offensive,rt boy dat coldtyga dwn bad cuffin dat hoe st place
1,1,Offensive,rt dawg rt ever fuck bitch start cry confused shit
2,2,Offensive,rt look like tranny
3,3,Offensive,rt shit hear might true might faker bitch told ya
4,4,Offensive,shit blow meclaim faithful somebody still fucking hoe
5,5,Offensive,sit hate another bitch got much shit going
6,6,Offensive,cause im tired big bitch coming u skinny girl
7,7,Offensive,amp might get ya bitch back amp thats
8,8,Offensive,hobby include fighting mariam bitch
9,9,Offensive,keeks bitch curve everyone lol walked conversation like smh
10,10,Offensive,murda gang bitch gang land
11,11,Offensive,hoe smoke loser yea go ig
12,12,Offensive,bad bitch thing like
13,13,Offensive,bitch get
14,14,Offensive,bitch nigga miss
15,15,Offensive,bitch plz whatever
16,16,Offensive,bitch love
17,17,Offensive,bitch get cut everyday b
18,18,Offensive,black bottle amp bad bitch
19,19,Offensive,broke bitch cant tell nothing
20,20,Offensive,cancel bitch like nino
21,21,Offensive,cant see hoe wont change
22,22,Offensive,fuck bitch dont even suck dick kermit video bout fuck ig
23,23,Offensive,got ya bitch tip toeing hardwood floor
24,24,Offensive,pussy lip like heaven door
25,25,Offensive,hoe hitting
26,26,Offensive,met pussy ocean dr gave pussy pill
27,27,Offensive,need trippy bitch fuck hennessy
28,28,Offensive,spend money want bitch business
29,29,Offensive,txt old bitch new bitch pussy wetter
30,30,Offensive,id say im back old old bitch would get excited
31,31,Offensive,aint bout murder game pussy nigga shut
32,32,Offensive,youre toe aint done pussy stink
33,33,Offensive,im done bitter bitch wrap angry bird there app
34,34,Offensive,ya bitch
35,35,Offensive,aint nothing cut bitch
36,36,Offensive,jus meet son ya mane as bitch shot
37,37,Offensive,lame cry hoe thats tear clown
38,38,Offensive,like snoop said dont love hoe
39,39,Offensive,hated hoe favorite mw sevenone
40,40,Offensive,nice girl bad make get naughty bad yello hoe real nice body south chick like em real thick
41,41,Offensive,pimp pimp hoe future voice
42,42,Offensive,post picture pussy get like
43,43,Offensive,pussy powerful drug happyhumpday
44,44,Offensive,quick piece pussy call drive
45,45,Offensive,running round like brand new pussy thats bout get fucked
46,46,Offensive,bitch even worst theyll send guy
47,47,Offensive,hoe like nigga spend money talk bout
48,48,Offensive,dont trust nigga bitch
49,49,Offensive,yall nigga b cuffing hoe cause yall aint never bitch
50,50,Offensive,dodge bullet da bitch cut pregnant bound thank god
51,51,Offensive,young pill chamberlain bitch love music
52,52,Offensive,teanna trump probably cleaner twitter hoe
53,53,Offensive,gay nigga couldnt wait act like bitch tonight
54,54,Offensive,ima steal cat n replace pitbull rt bitch
55,55,Offensive,amp he gone always hoe
56,56,Offensive,son bitch took tic tacs like movie
57,57,Offensive,wanna get money fuck model bitch russell simmons
58,58,Offensive,probably wouldnt mind school much didnt deal bitch as teacher retweet
59,59,Offensive,im fucking fag said
60,60,Offensive,female think dating pussy cute stuff make pussy
61,61,Offensive,ya ever asked bitch bitch kanye voice yes
62,62,Offensive,u gone bring ur side bitch game know ya gf friend swear
63,63,Offensive,bitch fuck u maybe youll get better
64,64,Offensive,fuck red malone man bitch as niggah could please use complete sentence
65,65,Offensive,hennessey venom gt thats one sexy bitch
66,66,Offensive,seh pussy wetter shower curtainahmesehwetnessltlmao
67,67,Offensive,eaglesnation every eagle need see pic posted bitch said racist shit
68,68,Offensive,yo fuck skateboarding yall wood pushing faggot man ball life
69,69,Offensive,aint shit damn skippy lol
70,70,Offensive,u ever kill ant sidewalk think damn nigga way get pussyno b must b gtchance
71,71,Offensive,ring mvp bitch lol
72,72,Offensive,ppl talk bad ghettohood kid growing nigga funnnnnnn
73,73,Offensive,fact tattoostattoo he pussy tattooing nipple
74,74,Offensive,rt bitch wanting act like nigga bad shit aint cuteeeee nigga act like bitch
75,75,Offensive,get worshiping bitch woof woof
76,76,Offensive,wow rt im lost buttcheek piercings yeah shes hoe
77,77,Offensive,ok si shed rather broke bitch shrug shell tell work
78,78,Offensive,faggot read tweet dat k wasnt even funny lol
79,79,Offensive,bitch ungrateful fr lulwhore
80,80,Offensive,kidnapped yo bitch
81,81,Offensive,happy birthday nigs thanks yo
